Date,Headliner,Genre_Headliner,Opener,Venue,"City, State",Who,Reference,,,City,State,,_Full Date,Month,Day,Year,Day of Week,,Opener_,Opener_1,Opener_2,Opener_3,Opener_4,Opener_5,Opener_6,Opener_7,Opener_8,Opener_9,Opener_10,Opener_11,Opener_12,Opener_13,Opener_14,Opener_15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/19/1988,Ziggy Marley,Reggae,,Mesa Amphitheatre,"Mesa, Arizona",Mike,,,,Mesa, Arizona,,September 19 1988,September,19,1988,Monday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/7/1988,George Michael,Pop,,Irvine Meadows,"Irvine, California",Dori,,,,Irvine, California,,October 7 1988,October,7,1988,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/15/1988,Beach Boys,Classic Rock,,Arizona Veterans Memorial Coliseum,"Phoenix, Arizona",Mike,,,,Phoenix, Arizona,,October 15 1988,October,15,1988,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/29/1988,Oingo Boingo,New Wave,,Irvine Meadows,"Irvine, California",Dori,,,,Irvine, California,,October 29 1988,October,29,1988,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/5/1989,Howard Jones,New Wave,Midge Ure,Universal Amphitheater ,"Los Angeles, California",Dori,https://www.setlist.fm/setlist/midge-ure/1989/universal-amphitheatre-universal-city-ca-63ea32ff.html,,,Los Angeles, California,,July 5 1989,July,5,1989,Wednesday,,Midge Ure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/1990,Tone Loc,Hip Hop,,Jets,"Long Beach, California",Dori,,,,Long Beach, California,,March 10 1990,March,10,1990,Saturday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/11/1990,Erasure,Synthpop,,Kia Forum,"Inglewood, California",Dori,https://www.setlist.fm/setlist/erasure/1990/great-western-forum-inglewood-ca-13c21d6d.html,,,Inglewood, California,,March 11 1990,March,11,1990,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/13/1990,Social Distortion,Punk,,Cal State Fullerton,"Fullerton, California",Mike,,,,Fullerton, California,,September 13 1990,September,13,1990,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/15/1990,Erasure,Synthpop,,Irvine Meadows,"Irvine, California",Mike,https://www.setlist.fm/setlist/erasure/1990/irvine-meadows-amphitheatre-irvine-ca-23c21c7b.html,,,Irvine, California,,June 15 1990,June,15,1990,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/5/1990,Depeche Mode,New Wave,,Dodger Stadium,"Los Angeles, California",Dori,,,,Los Angeles, California,,August 5 1990,August,5,1990,Sunday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/9/1990,Jesus Jones,Britpop,EMF,Hollywood Palladium,"Hollywood, California",Dori,,,,Hollywood, California,,August 9 1990,August,9,1990,Thursday,,EMF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/2/1991,Maxi Priest,Reggae,"Andrew Tosh,Carlene Davis,Dennis Brown,Little Lenny,Shinehead,Team Band",Pacific Amphitheatre,"Costa Mesa, California",Dori,,,,Costa Mesa, California,,June 2 1991,June,2,1991,Sunday,,Andrew Tosh,Carlene Davis,Dennis Brown,Little Lenny,Shinehead,Team Band,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/21/1991,Jimmy Buffett,Gulf and Western Country Rock,,Irvine Meadows,"Irvine, California",Mike,,,,Irvine, California,,June 21 1991,June,21,1991,Friday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/23/1991,Bel Biv DeVoe,R&B,"Johnny Gill,Keith Sweat",Kia Forum,"Inglewood, California",Dori,,,,Inglewood, California,,February 23 1991,February,23,1991,Saturday,,Johnny Gill,Keith Sweat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/8/1991,Burning Spear,Reggae,"Aswad,Eek a Mouse",Long Beach Arena,"Long Beach, California",Dori,https://www.concertarchives.org/concerts/burning-spear-eek-a-mouse--4923954,,,Long Beach, California,,September 8 1991,September,8,1991,Sunday,,Aswad,Eek a Mouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/4/1991,Sting,Soft Rock,Squeeze,Pacific Amphitheatre,"Costa Mesa, California","Mike, Dori",https://www.concertarchives.org/concerts/sting-033dc68b-fc69-437e-9fb0-572312d814a3,,,Costa Mesa, California,,October 4 1991,October,4,1991,Friday,,Squeeze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/4/1992,The Smithereens,Pop Rock,Tom Cochrane,The Celebrity Theatre,"Anaheim, California","Mike, Dori",Email from Cindy (band),,,Anaheim, California,,June 4 1992,June,4,1992,Thursday,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/21/1991,Siouxsie and Banshees,Post Punk,"Ian McCulloch,School of Fish,The Smithereens,The Wonderstuff",Universal Amphitheater ,"Los Angeles, California","Mike, Dori",https://www.setlist.fm/search?query=KROQ+Almost+Acoustic+Christmas+1991,,,Los Angeles, California,,December 21 1991,December,21,1991,Saturday,,Ian McCulloch,School of Fish,The Smithereens,The Wonderstuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
